iter	TotalF1	MultiClass
0	0.8488746625	1.058506072
1	0.8567063796	1.021722141
2	0.8645246388	0.9882252752
3	0.8636751095	0.9570950107
4	0.8646929939	0.9269300735
5	0.8648673136	0.9006952213
6	0.8679819054	0.8747743416
7	0.8674801451	0.8506405035
8	0.8674092849	0.828014052
9	0.867717775	0.8062441379
10	0.8679244436	0.7848606696
11	0.8677740223	0.7646507405
12	0.8677582975	0.7464974122
13	0.8682506048	0.728182058
14	0.8687922556	0.7109632625
15	0.8691388851	0.6956803108
16	0.8710748596	0.6811040551
17	0.8708416991	0.666739871
18	0.8705631925	0.6534811463
19	0.8713832442	0.6404434111
20	0.8717028797	0.6272429367
21	0.8719334999	0.6140835234
22	0.8728916523	0.6022817529
23	0.8729291408	0.5917626962
24	0.8736021892	0.5812812732
25	0.875767337	0.5712613792
26	0.8755096964	0.5618682905
27	0.8788590556	0.5523221899
28	0.8770297149	0.5432037452
29	0.8759287065	0.5347392276
30	0.8793976177	0.526468293
31	0.8800354167	0.518232701
32	0.8797370803	0.5105695076
33	0.8798052478	0.503500097
34	0.8801000667	0.4963753778
35	0.8795340205	0.4898889303
36	0.8798997743	0.4838229817
37	0.8802759049	0.4778395431
38	0.8802774152	0.4717927096
39	0.880539442	0.4659323484
40	0.8803422655	0.4604421462
41	0.8803072575	0.4554083272
42	0.8806273685	0.4500892019
43	0.8808995122	0.4450714278
44	0.8810768396	0.4403977286
45	0.8810067591	0.4357763811
46	0.8814399219	0.4311254219
47	0.8812388816	0.4267473543
48	0.8815810469	0.4224876279
49	0.8817728308	0.4183621914
50	0.8821293736	0.4140511003
51	0.8817632025	0.4100632614
52	0.8821170205	0.4060173643
53	0.8827369311	0.4020641831
54	0.8823926645	0.3983490423
55	0.882776586	0.3951755043
56	0.8828887116	0.3917122678
57	0.8835557225	0.3884636327
58	0.8839836782	0.384823841
59	0.8839305433	0.3814481486
60	0.8840361488	0.3790649565
61	0.8846948904	0.3764771882
62	0.8844277811	0.3737101053
63	0.8851509081	0.3701057926
64	0.8852592842	0.3675133991
65	0.8852748685	0.3645973088
66	0.8857125964	0.3618262313
67	0.8857579142	0.3586865432
68	0.8855434652	0.3566507312
69	0.8859232845	0.3544136384
70	0.8855297543	0.3519865725
71	0.8856742288	0.3490794278
72	0.8859140385	0.3465071831
73	0.8858590387	0.3441411393
74	0.885913878	0.3418111697
75	0.8857611689	0.3393369744
76	0.8859795533	0.3375321233
77	0.8859934994	0.3356944109
78	0.8865925201	0.3334309133
79	0.8862675193	0.3316568596
80	0.8864703998	0.3302973267
81	0.8866442655	0.3284708093
82	0.8869791885	0.3266010593
83	0.8872124811	0.3249874602
84	0.8874559089	0.3233925218
85	0.8874220248	0.3217021696
86	0.887663592	0.3200464714
87	0.8878037334	0.3183643352
88	0.8879129698	0.3167108967
89	0.8886112946	0.3152787704
90	0.8889150096	0.3139797141
91	0.8886904851	0.3125909392
92	0.8881943186	0.3112643552
93	0.8882188006	0.3099145012
94	0.8883405247	0.3087446849
95	0.8887589409	0.3076056991
96	0.8887400599	0.3067632377
97	0.8887107405	0.3054742786
98	0.888587134	0.3041954058
99	0.8894236724	0.3034328415
100	0.8893919009	0.3021927008
101	0.8899406653	0.3006460643
102	0.8903416481	0.2994425344
103	0.890215392	0.2982696004
104	0.890444052	0.2973753026
105	0.8906404965	0.2962257428
106	0.8904082098	0.2955093255
107	0.8904957055	0.2944913186
108	0.8904815361	0.2935755688
109	0.8908579676	0.2925347341
110	0.8907562384	0.2915484856
111	0.8911414118	0.2907303501
112	0.8911959491	0.2897949088
113	0.8910816893	0.2886477112
114	0.8915835851	0.2876279322
115	0.8920791274	0.2869395821
116	0.8920368687	0.2864292653
117	0.8920855467	0.2857319815
118	0.8922509032	0.285097548
119	0.8925801074	0.2841462628
120	0.892678551	0.2836436421
121	0.8927911953	0.2826101801
122	0.8927911953	0.2820599917
123	0.8928525962	0.2812220299
124	0.8929071071	0.2806102431
125	0.8929034182	0.2798710014
126	0.8929034182	0.2789427194
127	0.8927762718	0.2781685133
128	0.8932006182	0.2775836709
129	0.893597534	0.2766526391
130	0.8939690708	0.276107139
131	0.8941326154	0.2753501407
132	0.8942059612	0.2746745572
133	0.8939920622	0.2740011798
134	0.8939779901	0.2734627687
135	0.8941700004	0.2730556934
136	0.8944662877	0.2724051292
137	0.894773051	0.2718051183
138	0.8944222217	0.2713417864
139	0.8949707436	0.2708006227
140	0.8948495409	0.2701778252
141	0.8954588436	0.2696758426
142	0.8952729526	0.2690182785
143	0.895337691	0.2686239087
144	0.8951619983	0.2680012778
145	0.8952452163	0.2675506968
146	0.8953099121	0.267035166
147	0.8953099121	0.2665327046
148	0.8952978253	0.2657486587
149	0.8954087816	0.2652660287
150	0.8955762799	0.2646678103
151	0.8961225207	0.2642866098
152	0.8964955913	0.2637758851
153	0.8966611106	0.2633572759
154	0.8963444449	0.262886574
155	0.8964047683	0.2623282947
