iter	Passed	Remaining
0	53	42663
1	86	34602
2	121	32222
3	154	30819
4	188	29910
5	223	29573
6	256	29003
7	297	29435
8	330	29019
9	362	28675
10	396	28425
11	429	28181
12	461	27949
13	494	27788
14	526	27571
15	563	27612
16	596	27495
17	631	27452
18	665	27354
19	698	27254
20	732	27179
21	766	27096
22	798	26974
23	831	26883
24	865	26826
25	898	26746
26	935	26788
27	967	26682
28	999	26580
29	1032	26493
30	1064	26416
31	1097	26335
32	1133	26355
33	1165	26262
34	1200	26241
35	1233	26180
36	1265	26102
37	1298	26046
38	1332	26002
39	1366	25964
40	1399	25912
41	1432	25861
42	1467	25828
43	1500	25773
44	1533	25723
45	1567	25693
46	1599	25625
47	1630	25549
48	1664	25508
49	1695	25436
50	1728	25392
51	1761	25334
52	1794	25285
53	1827	25249
54	1861	25217
55	1894	25174
56	1927	25131
57	1962	25104
58	1995	25056
59	2026	24995
60	2059	24946
61	2092	24912
62	2125	24861
63	2157	24806
64	2190	24768
65	2225	24755
66	2258	24709
67	2289	24648
68	2322	24603
69	2354	24558
70	2386	24504
71	2418	24449
72	2449	24394
73	2482	24351
74	2514	24307
75	2548	24275
76	2580	24232
77	2613	24190
78	2648	24173
79	2692	24234
80	2726	24201
81	2764	24209
82	2801	24197
83	2845	24253
84	2885	24274
85	2925	24285
86	2960	24264
87	2994	24226
88	3025	24172
89	3058	24130
90	3090	24075
91	3122	24027
92	3153	23974
93	3185	23927
94	3220	23900
95	3253	23860
96	3286	23820
97	3326	23826
98	3367	23842
99	3411	23882
100	3455	23912
101	3489	23877
102	3522	23835
103	3557	23806
104	3589	23758
105	3620	23701
106	3652	23652
107	3682	23596
108	3714	23545
109	3746	23499
110	3779	23463
111	3811	23411
112	3842	23364
113	3875	23320
114	3908	23278
115	3939	23228
116	3970	23180
117	4002	23134
118	4036	23097
119	4068	23057
120	4100	23010
121	4135	22980
122	4166	22935
123	4201	22904
124	4233	22859
125	4264	22810
126	4295	22764
127	4326	22714
128	4358	22669
129	4391	22631
130	4421	22579
131	4456	22552
132	4495	22542
133	4526	22499
134	4560	22462
135	4591	22419
136	4624	22380
137	4655	22334
138	4688	22294
139	4720	22254
140	4751	22205
141	4782	22160
142	4813	22114
143	4843	22066
144	4875	22023
145	4908	21989
146	4940	21946
147	4971	21900
148	5004	21865
149	5037	21828
150	5069	21786
151	5100	21742
152	5132	21702
153	5165	21669
154	5201	21644
155	5235	21613
